"year","make","model"
"2015","SUBARU","LEGACY"
"2015","SUBARU","OUTBACK"
"2015","SUBARU","WRX"
"2015","SUBARU","WRX STI"
"2015","SUBARU","XV CROSSTREK"
"2015","SUZUKI","TU250X"
"2015","TESLA","S"
"2015","TESLA","X"
"2015","TOYOTA","4RUNNER"
"2015","TOYOTA","AVALON"
"2015","TOYOTA","CAMRY"
"2015","TOYOTA","COROLLA"
"2015","TOYOTA","HIGHLANDER"
"2015","TOYOTA","LAND CRUISER"
"2015","TOYOTA","PRIUS"
"2015","TOYOTA","PRIUS C"
"2015","TOYOTA","PRIUS V"
"2015","TOYOTA","RAV4"
"2015","TOYOTA","SEQUOIA"
"2015","TOYOTA","SIENNA"
"2015","TOYOTA","TACOMA"
"2015","TOYOTA","TUNDRA"
"2015","TOYOTA","VENZA"
"2015","TOYOTA","YARIS"
"2015","VICTORY","GUNNER"
"2015","VOLKSWAGEN","AMAROK"
"2015","VOLKSWAGEN","BEETLE"
